canonical_genre,tag_assignment_count,unique_users,unique_artists,listening_weight_sum,listening_weight_mean,genre_popularity_score,popularity_rank,genre_popularity_segment,listener_type
rock,12301,933,3263,7139623.0,580.4099666693764,933,1,mainstream,Mainstream
electronic,7588,640,2464,4343341.0,572.3960200316288,640,2,mainstream,Mainstream
pop,5828,631,1941,6303726.0,1081.627659574468,631,3,mainstream,Mainstream
metal,5708,432,1418,2593391.0,454.3432025227751,432,4,mainstream,Mainstream
dance,2764,374,950,3413174.0,1234.867583212735,374,5,mainstream,Mainstream
rap,2307,307,902,1164616.0,504.81837884698746,307,6,mainstream,Mainstream
folk,1317,211,668,366287.0,278.1222475322703,211,7,mainstream,Mainstream
new metal,1321,197,423,900413.0,681.6146858440575,197,8,mainstream,Mainstream
hardcore,1377,193,568,668355.0,485.3703703703704,193,9,mainstream,Mainstream
jazz,1141,193,515,310097.0,271.77651183172657,193,10,mainstream,Mainstream
new wave,1703,193,510,1050808.0,617.0334703464474,193,11,mainstream,Mainstream
pop-rap,875,185,414,643802.0,735.7737142857143,185,12,mainstream,Mainstream
gothic,814,156,282,684077.0,840.3894348894349,156,13,mainstream,Mainstream
britpop,776,153,220,435714.0,561.4871134020618,153,14,mainstream,Mainstream
grunge,497,153,152,283036.0,569.4889336016097,153,15,mainstream,Mainstream
blues,891,144,324,251451.0,282.2121212121212,144,16,mainstream,Mainstream
electropop,394,113,198,740276.0,1878.8730964467004,113,17,mainstream,Mainstream
funk,483,107,220,130317.0,269.8074534161491,107,18,mainstream,Mainstream
reggae,345,93,169,168420.0,488.17391304347825,93,19,mainstream,Mainstream
disco,287,69,168,417234.0,1453.7770034843206,69,20,mainstream,Mainstream
pop rock,259,66,146,278659.0,1075.903474903475,66,21,middle,Middle
shoegaze,326,57,183,49539.0,151.96012269938652,57,22,middle,Middle
darkwave,244,53,115,122193.0,500.7909836065574,53,23,middle,Middle
pop-folk,130,50,90,113720.0,874.7692307692307,50,24,middle,Middle
grindcore,174,40,97,19651.0,112.9367816091954,40,25,middle,Middle
j-pop,213,37,119,127397.0,598.1079812206573,37,26,middle,Middle
folk metal,84,34,40,14316.0,170.42857142857142,34,27,middle,Middle
gospel,94,28,81,77453.0,823.968085106383,28,28,middle,Middle
