playlist_genre,genre_popularity_segment,listener_type_zh,genre_song_rank,track_name,track_artist,track_popularity,playlist_subgenre,track_album_release_date
edm,niche,小眾挖掘者,1,ROXANNE,Arizona Zervas,99,pop edm,2019-10-10
edm,niche,小眾挖掘者,2,Blinding Lights,The Weeknd,98,pop edm,2019-11-29
edm,niche,小眾挖掘者,3,Circles,Post Malone,98,pop edm,2019-09-06
edm,niche,小眾挖掘者,4,Memories,Maroon 5,98,pop edm,2019-09-20
edm,niche,小眾挖掘者,5,The Box,Roddy Ricch,98,pop edm,2019-12-06
edm,niche,小眾挖掘者,6,Tusa,KAROL G,98,pop edm,2019-11-07
edm,niche,小眾挖掘者,7,Don't Start Now,Dua Lipa,97,pop edm,2019-10-31
edm,niche,小眾挖掘者,8,Falling,Trevor Daniel,97,pop edm,2018-10-05
edm,niche,小眾挖掘者,9,everything i wanted,Billie Eilish,97,pop edm,2019-11-13
edm,niche,小眾挖掘者,10,RITMO (Bad Boys For Life),The Black Eyed Peas,96,pop edm,2019-10-12
latin,mainstream,主流型用戶,1,Dance Monkey,Tones and I,100,latin hip hop,2019-10-17
latin,mainstream,主流型用戶,2,ROXANNE,Arizona Zervas,99,latin hip hop,2019-10-10
latin,mainstream,主流型用戶,3,Blinding Lights,The Weeknd,98,latin pop,2019-11-29
latin,mainstream,主流型用戶,4,Blinding Lights,The Weeknd,98,latin hip hop,2019-11-29
latin,mainstream,主流型用戶,5,Circles,Post Malone,98,latin pop,2019-09-06
latin,mainstream,主流型用戶,6,Circles,Post Malone,98,latin hip hop,2019-09-06
latin,mainstream,主流型用戶,7,Memories,Maroon 5,98,latin pop,2019-09-20
latin,mainstream,主流型用戶,8,Memories,Maroon 5,98,reggaeton,2019-09-20
latin,mainstream,主流型用戶,9,Memories,Maroon 5,98,latin hip hop,2019-09-20
latin,mainstream,主流型用戶,10,The Box,Roddy Ricch,98,latin pop,2019-12-06
pop,mainstream,主流型用戶,1,Dance Monkey,Tones and I,100,post-teen pop,2019-10-17
pop,mainstream,主流型用戶,2,Blinding Lights,The Weeknd,98,dance pop,2019-11-29
pop,mainstream,主流型用戶,3,Blinding Lights,The Weeknd,98,post-teen pop,2019-11-29
pop,mainstream,主流型用戶,4,Blinding Lights,The Weeknd,98,indie poptimism,2019-11-29
pop,mainstream,主流型用戶,5,Circles,Post Malone,98,post-teen pop,2019-09-06
pop,mainstream,主流型用戶,6,Memories,Maroon 5,98,dance pop,2019-09-20
pop,mainstream,主流型用戶,7,Memories,Maroon 5,98,post-teen pop,2019-09-20
pop,mainstream,主流型用戶,8,Tusa,KAROL G,98,dance pop,2019-11-07
pop,mainstream,主流型用戶,9,Don't Start Now,Dua Lipa,97,post-teen pop,2019-10-31
pop,mainstream,主流型用戶,10,Don't Start Now,Dua Lipa,97,indie poptimism,2019-10-31
r&b,niche,小眾挖掘者,1,ROXANNE,Arizona Zervas,99,urban contemporary,2019-10-10
r&b,niche,小眾挖掘者,2,ROXANNE,Arizona Zervas,99,hip pop,2019-10-10
r&b,niche,小眾挖掘者,3,Blinding Lights,The Weeknd,98,urban contemporary,2019-11-29
r&b,niche,小眾挖掘者,4,Blinding Lights,The Weeknd,98,hip pop,2019-11-29
r&b,niche,小眾挖掘者,5,Circles,Post Malone,98,hip pop,2019-09-06
r&b,niche,小眾挖掘者,6,Memories,Maroon 5,98,urban contemporary,2019-09-20
r&b,niche,小眾挖掘者,7,Memories,Maroon 5,98,hip pop,2019-09-20
r&b,niche,小眾挖掘者,8,The Box,Roddy Ricch,98,urban contemporary,2019-12-06
r&b,niche,小眾挖掘者,9,The Box,Roddy Ricch,98,hip pop,2019-12-06
r&b,niche,小眾挖掘者,10,Tusa,KAROL G,98,hip pop,2019-11-07
rap,middle,中間型用戶,1,The Box,Roddy Ricch,98,hip hop,2019-12-06
rap,middle,中間型用戶,2,The Box,Roddy Ricch,98,gangster rap,2019-12-06
rap,middle,中間型用戶,3,The Box,Roddy Ricch,98,trap,2019-12-06
rap,middle,中間型用戶,4,Tusa,KAROL G,98,trap,2019-11-07
rap,middle,中間型用戶,5,Falling,Trevor Daniel,97,gangster rap,2018-10-05
rap,middle,中間型用戶,6,HIGHEST IN THE ROOM,Travis Scott,94,hip hop,2019-10-04
rap,middle,中間型用戶,7,HIGHEST IN THE ROOM,Travis Scott,94,gangster rap,2019-10-04
rap,middle,中間型用戶,8,HIGHEST IN THE ROOM,Travis Scott,94,trap,2019-10-04
rap,middle,中間型用戶,9,BOP,DaBaby,93,hip hop,2019-09-27
rap,middle,中間型用戶,10,BOP,DaBaby,93,gangster rap,2019-09-27
rock,middle,中間型用戶,1,bad guy,Billie Eilish,95,permanent wave,2019-03-29
rock,middle,中間型用戶,2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,88,permanent wave,2018-12-14
rock,middle,中間型用戶,3,The Less I Know The Better,Tame Impala,85,album rock,2015-07-17
rock,middle,中間型用戶,4,The Less I Know The Better,Tame Impala,85,permanent wave,2015-07-17
rock,middle,中間型用戶,5,Bohemian Rhapsody - 2011 Mix,Queen,84,album rock,1975-11-21
rock,middle,中間型用戶,6,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,84,permanent wave,2014-11-07
rock,middle,中間型用戶,7,Africa,TOTO,83,album rock,1982-04-08
rock,middle,中間型用戶,8,Africa,TOTO,83,permanent wave,1982-04-08
rock,middle,中間型用戶,9,Back In Black,AC/DC,83,album rock,1980-07-25
rock,middle,中間型用戶,10,Back In Black,AC/DC,83,classic rock,1980-07-25
