tagID	tagValue	canonical_genre
1	metal	metal
2	alternative metal	alternative metal
3	goth rock	goth rock
4	black metal	black metal
5	death metal	death metal
6	industrial metal	industrial metal
7	gothic metal	gothic metal
8	terror ebm	terror ebm
9	electro-industrial	electro-industrial
10	harsh ebm	harsh ebm
11	post black metal	post black metal
12	aggrotech	aggrotech
13	chillout	chillout
14	ambient	ambient
15	downtempo	downtempo
16	new wave	new wave
17	synth pop	synth pop
18	electronic	electronic
20	lounge	lounge
21	trip-hop	trip-hop
22	acid jazz	acid jazz
23	new age	new age
24	pop	pop
26	atmospheric	atmospheric
27	ethereal	ethereal
28	deutsch	deutsch
29	schlager	schlager
30	german	german
31	hi-nrg	hi-nrg
32	avant-garde	avant-garde
33	experimental	experimental
34	minimal	minimal
35	cyberpunk	cyberpunk
36	club house	club house
37	groove	groove
38	cafe del mar	cafe del mar
39	dance	dance
40	gregorian chant	gregorian chant
41	female vovalists	female vovalists
42	synth-pop	synth pop
44	glitch	glitch
46	melancholy	melancholy
47	idm	idm
48	vu-us	vu-us
49	female vocalist	female vocalist
51	clicks and cuts	clicks and cuts
52	databloem	databloem
53	field recording	field recording
54	october man recordings	october man recordings
55	greece	greece
56	melancholic	melancholic
57	clicks'n'cuts	clicks'n'cuts
58	halbischt	halbischt
59	drone	drone
60	melodramatic popular song minimal	melodramatic popular song minimal
61	industrial	industrial
62	trip hop	trip-hop
63	basses frequences	basses frequences
64	mille plateaux	mille plateaux
65	folktronica	folktronica
66	abstract	abstract
67	noise	noise
68	glitch hop	glitch hop
69	dub	dub
70	dubstep	dubstep
71	hiphop	hiphop
72	hard rock	hard rock
73	rock	rock
74	synthpop	synthpop
75	psychedelic rock	psychedelic rock
76	progressive metal	progressive metal
77	ambient rock	ambient rock
78	alternative rock	alternative rock
79	alternative	alternative
80	glam rock	glam rock
81	indie	indie
82	doom metal	doom metal
83	jazz	jazz
84	indie rock	indie rock
85	funk	funk
86	ebm	ebm
87	post-rock	post-rock
88	psychedelic	psychedelic
89	symphonic metal	symphonic metal
90	trance	trance
91	thrash metal	thrash metal
92	dope	dope
93	israeli	israeli
94	winter	winter
95	autumn	autumn
96	spring	spring
97	want	want
98	summer	summer
99	sunshine	sunshine
100	hip hop under	hip hop under
101	raptuga	raptuga
102	hip-hop	hip-hop
103	rap	rap
104	chill out	chill out
105	house	house
106	taraxinha	taraxinha
107	kizomba	kizomba
108	rock and roll	rock and roll
109	pop rock	pop rock
110	kizomba zouk	kizomba zouk
111	70 hits	70 hits
112	underground hip hp	underground hip hp
113	hip hop angolano	hip hop angolano
114	luso hip hop	luso hip hop
115	french rap	french rap
116	jam	jam
117	kwasa	kwasa
118	semba	semba
119	angola	angola
120	world music	world music
121	uk	uk
123	new york	new york
124	pop dance	pop dance
125	manguraunderground	manguraunderground
126	zouk	zouk
128	hit	hit
129	music idol	music idol
130	female vocalists	female vocalists
131	girl groups	girl groups
132	girls	girls
133	deutschsprachig	deutschsprachig
134	singer-songwriter	singer-songwriter
135	german artists	german artists
136	bundesvision song contest 2006	bundesvision song contest 2006
137	specials to 3mmey	specials to 3mmey
138	hard rock - metal	hard rock - metal
139	j-rock	j-rock
140	j-pop	j-pop
141	visual kei	visual kei
142	electronic - trance - psytrance	electronic - trance - psytrance
144	arabic	arabic
145	kpop	kpop
146	jaebeom	jaebeom
147	top	top
148	gd	gd
149	g-dragon	g-dragon
150	2pm	2pm
151	wonder girls	wonder girls
152	jyp	jyp
153	junsu	junsu
154	2am	2am
155	park jaebum	park jaebum
156	park jaebeom	park jaebeom
157	jaebum	jaebum
158	jaywalkers	jaywalkers
159	anime	anime
160	noise rock	noise rock
161	kim jong kook	kim jong kook
162	soya	soya
163	niece	niece
164	k-pop	k-pop
166	death cab for cutie	death cab for cutie
167	rnb	rnb
168	teen rock	teen rock
169	pop punk	pop punk
170	grunge	grunge
172	so cool	so cool
173	lyceum	lyceum
174	belarussian pop	belarussian pop
175	belarussian rnb	belarussian rnb
176	emo	emo
177	nu metal	nu metal
178	screamo	screamo
179	gothic	gothic
180	post-hardcore	post-hardcore
181	punk	punk
182	punk rock	punk rock
183	christian rock	christian rock
184	soundtrack	soundtrack
185	acoustic	acoustic
186	emocore	emocore
187	electronica	electronica
188	polish	polish
189	industrial rock	industrial rock
190	gothic rock	gothic rock
191	instrumental	instrumental
193	country	country
194	hardcore	hardcore
195	british	british
196	polish rock	polish rock
197	gangsta rap	gangsta rap
198	rapcore	rapcore
199	electropop	electropop
200	hot	hot
202	electro pop	electro pop
203	disco	disco
204	fierce	fierce
205	urban pop	urban pop
206	<3	<3
208	diva	diva
209	legend	legend
211	thats hot	thats hot
212	criminal	criminal
214	big voice	big voice
215	icon	icon
216	american	american
217	untalented	untalented
218	slut	slut
219	whore	whore
220	fake boobs	fake boobs
221	the hills	the hills
222	people who have no talent	people who have no talent
